0148300014521000003,OR
0373100014421000007,OR
0873200009821001324,NR
0373200029721000968,NR
0873200009821000876,NR
0373200012321000026,NS
0373200029721000975,NR
0373200178121000032,OV
0373100014421000009,NV
0373200575321000004,OR
0373200029721000951,NR
0373200173321000015,OP
0873200009821001238,OR
0373200029721000966,NR
0373200015021000039,NR
0373200029721000907,OR
0873500000821000442,NS
0373200029721000912,OR
0873200009821001308,OR
0873200009821001326,NR
0373200010821000060,OR
0873200009821000910,NR
0373200074821000098,NR
0373100134521000038,OR
0873200009821001243,OR
0373200033921000002,OR
0373200087421000003,V4
0873200009821000932,NR
0173100005921000003,NS
0373200029721000974,NR
0873200009821001283,NR
0373200029721000908,OR
0373200027421000184,V4
0348100057521000037,OR
0873200009821001282,NR
0373100091421000053,OR
0873200009821000894,OR
0373200087821000152,OR
0373200012321000026,NS
0373200561721000011,OR
0373200006621000011,OR
0373200021521000001,OP
0373200029721000962,NR
0373200027421000183,OP
0373200001221000055,OR
0373200027421000181,V4
0373100076521000007,NV
0373200029721000925,OR
0373200100121000044,OR
0373200029721000923,OR
0373200089421000017,OR
0373200029721000933,OR
0373200002821000012,NS
0373200024421000154,OR
0873200009821000877,NR
0873200009821001313,OR
0373200017521000107,OR
0373200029721000906,OR
0373200029721000939,NR
0873200009821001327,OR
0373200029721000949,OR
0873200009821000962,OR
0373200588121000004,V4
0373200029721000945,OR
0373100013121000034,OR
0873200009821001281,NR
0373200029721000942,OR
0373200029721000923,OR
0873200009821000893,NR
0373200017521000132,NR
0373200017521000136,OR
0373100047021000003,OR
0373200053621000073,OV
0373200087821000159,OR
0873200009821000924,OR
0373200029721000934,NR
0373200152821000086,OR
0373100031221000023,OR
0873200009821001317,OR
0873200009821001321,OR
0373200216721000026,OV
0373200041521000076,OP
0373200029721000936,NR
0373200029721000941,NR
0373200580721000003,OR
0373200053621000076,NV
0373100033621000010,NS
0873200009821000927,OR
0373200015321000008,V4
0373200017321000042,OR
0373200029721000965,NR
0373200029721000912,OR
0373200052721000102,OR
0373100047021000002,OR
0373200074821000097,NR
0373200024421000138,OV
0373200029721000952,NR
0573500000121000038,OP
0873200009821001288,OR
0373200029721000969,NR
0373200015021000041,NR
0873200005721000011,NR
0373200307321000034,OR
0873200009821000907,NR
0373200074821000091,OP
0873200009821001271,OR
0873200005721000010,NR
0873200009821000881,OR
0373200029721000930,OR
0373200027421000183,V4
0373100134521000062,OR
0873200009821001292,OR
0373200017521000117,NR
0373100029521000001,V4
0873200009821000895,NR
0373200045221000185,NR
0373100074521000016,OP
0373100013121000035,NR
0373200029721000937,NR
0373200178121000032,OV
0373200029721000971,NR
0373200029721000978,OR
0873200009821000937,NR
0873200009821001056,V4
0373200015021000042,OR
0373200032021000110,NR
0373200024421000155,OR
0373200622321000003,NR
0373200075221000006,NR
0373200009821000119,OV
0373200087821000159,OR
0373200069621000047,OR
0373200017521000108,OR
0148300014521000003,OR
0373100091421000043,NR
0373200029721000935,NR
0373200029721000950,OR
0373200029721000944,OR
0373200152821000098,OP
0373200022221000090,OR
0373200017521000114,NR
0373200024421000140,V4
0873200009821000885,OR
0373200027421000184,OP
0373200024421000158,OV
0373200557921000056,OP
0373200022121000003,OV
0373100013121000032,NR
0173200002621000008,OR
0373200053621000075,OV
0373200041121000065,V4
0873200009821000871,OR
0373100134521000039,OR
0873200009821001275,NR
0873500000821000516,OR
0373200027421000181,OP
0873500000821000495,NS
0373200029721000960,NR
0373200174421000030,OR
0373100033621000016,OR
0373200024421000152,OR
0373200059721000029,OR
0373200024421000151,OR
0373100084621000015,OR
0873200009821000898,NR
0373200029721000955,NR
0373200107421000016,OR
0873200009821000902,NR
0373200045221000184,OV
0873200009821001322,NR
0373200029721000907,OR
0873200009821000912,OR
0373100033621000010,NS
0373200029721000972,NR
0873200009821000887,OR
0373200029721000956,NR
0873200009821001298,NR
0373200029721000947,NR
0373200099721000260,OP
0373200029721000958,NR
0373200082121000054,OP
0873200009821000890,OR
0373200029721000906,OR
0373200087821000151,NR
0373200029721000976,OR
0873200009821000915,NR
0373200029721000946,OR
0373200069621000048,OR
0373100037221000032,OR
0373200024421000156,OR
0173200022121000002,OR
0873500000821000565,NR
0873200009821000892,OR
0373100091421000048,V4
0373200029721000964,NR
0373200086721000146,OR
0873200009821001245,OP
0373200025621000073,OV
0373200029721000961,NR
0373200024421000165,OP
0373200082121000041,OR
0373200578921000004,OR
0373200052721000085,OV
0373200029721000967,NR
0373100127321000002,OV
0373200052721000103,OR
0873200009821000984,NR
0373200029721000979,OR
0373200045221000193,NR
0373200029721000908,OR
0373200015021000043,NR
0873200009821001296,NR
0873200009821000976,V4
0373200029721000940,NR
0373200029721000948,OR
0373200029721000885,OP
0373200029721000925,OR
0373200087821000153,NR
0873200009821001244,OP
0373100011621000002,V4
0373200053621000069,V4
0873200009821000891,NR
0373100088521000003,OR
0873500000821000524,OR
0373200569721000001,OR
0373200009821000166,OR
0373200029721000943,OR
0373200029721000922,OR
0373100134521000047,OR
0373200029721000959,NR
0373200034821000018,OR
0873200009821000906,NR
0373100005121000001,NR
0873200009821000965,NR
0373100020821000015,V4
0373200029721000932,OR
0373200016721000036,OR
0373200113421000045,NS
0373200029721000922,OR
0348200068121000011,V4
0873200009821000882,NR
0173100013921000001,OR
0873200009821000911,NR
0373100091421000048,OP
0373200074821000089,OR
0373200029721000917,OR
0873500000821000559,OR
0373200016721000038,V4
0373200087821000149,NR
0373100091421000052,OP
0873200009821001285,OR
0373100013421000012,OR
0873200009821000939,NR
0873200009821001346,NR
0373200029721000931,OR
0873200009821001345,OR
0373200029721000954,NR
0873500000821000463,OP
0873200009821000941,OR
0373200024421000139,V4
0373100037221000020,OP
0373200024421000153,OP
0373200016721000039,OR
0873200009821000923,NR
0873200009821000904,OR
0373200029721000957,NR
0173200002921000002,OV
0373200100121000042,OR
0373200622321000004,NR
0873400002421000009,OP
0873500000821000520,NS
0373200017521000115,OR
0373200075221000005,NR
0373100013421000006,OR
0873200009821001315,OR
0373100020821000015,OP
0373200000821000008,OP
0373200052321000129,OR
0373200114321000008,OP
0373100076521000005,OR
0373200045221000172,NR
0873200009821000884,NR
0373200082121000065,OR
0373200045221000169,OP
0873200009821000921,NR
0373100056021000077,OP
0873200009821001294,NR
0373200029721000977,OR
0373200015321000008,OP
0373200029721000938,NR
0373200030321000001,OR
0373200052721000101,OR
0873200009821000963,OR
0373200029721000963,NR
0873200009821000897,NR
0373200029721000970,NV
0373200025621000087,OP
0373100023821000012,OP
0373200032021000109,OP
0373200029721000973,NR
0373200017521000116,NR
0873200009821000944,NR
0873200009821000869,NR
0873200009821001303,NR
0373200010821000050,OV
0373200053621000075,OV
0373200244021000048,OR
0873500000821000579,OR
0348200068121000009,V4
0873200009821000964,NR
0373100015821000034,NR
0373200029721000917,OR
0873200009821001273,OR
0873200009821001064,V4
0573100002721000008,OR
0873500000821000443,V4
0373100065021000023,OR
0373000000221000003,OR
0373200067021000071,OR
0373200011421000061,OR
0173100011920000188,OR
0373100088121000009,OV
0373200018821000139,NR
0873200009821000818,OR
0373200122121000022,NR
0373200145521000001,OV
0373100094321000074,OR
0373100089321000124,NR
0873500000821000366,OV
0373100056021000060,NR
0173200001421000091,NV
0373200152821000091,OV
0173200001421000146,V4
0373100065021000025,OR
0873200009821000858,OR
0373200620221000002,NR
0873500000821000488,NR
0873500000821000501,OR
0173200001421000167,V3
0873500000821000470,NR
0373200172421000001,OV
0373200011421000191,OR
0873200009821000942,OR
0373200215521000091,OR
0373200099721000229,OR
0373100012621000007,OR
0873200009821000829,OR
0373200082121000069,NR
0373200067021000070,OR
0373200036121000058,OR
0373100056021000065,V4
0373200009821000176,OV
0373200215521000096,OR
0373200099721000239,OR
0373100056021000088,NR
0873500000821000558,NR
0373100128521000027,OR
0873200009821000859,OR
0373100056621000075,OR
0373100088121000018,OR
0873200009821000860,OR
0873200002721000019,NR
0873500000821000469,OR
0373100072121000027,OV
0873200009821000830,OR
0373200022221000082,OR
0173100011920000188,OR
0373100072121000035,NR
0373200051821000058,OR
0873400003921000013,NR
0348200078521000003,OP
0373200001321000160,NR
0373200188021000017,OR
0373200011421000185,OR
0373200216721000026,OV
0873500000821000563,OR
0573100025921000027,OV
0373400007721000026,OR
0373200011421000202,NR
0873200009821000853,OR
0373200203121000003,OV
0373100034821000001,NR
0373100056021000084,NR
0373100016721000005,OR
0573200012621000003,OR
0373200018821000138,OR
0173200002621000018,OR
0373200024421000162,NR
0373200063121000114,OR
0373200070721000014,V4
0373100056621000057,OR
0373100065021000022,OR
0373200017421000080,OR
0873500000821000399,NR
0373200082121000025,V4
0373100093521000036,OV
0373200100121000043,OR
0873200009821000889,OR
0373100134521000043,NR
0873200009821000830,OR
0373200011421000193,NR
0373100088121000008,OR
0373200024421000144,OR
0373100037221000011,OR
0373100091421000055,OV
0873200009821000820,OR
